Date,Open,High,Low,Close,Volume
11-09-2007,238.8,239.49,236.05,237.32,342500.0
12-09-2007,238.02,239.59,235.82,236.5,316250.0
13-09-2007,237.2,244.0,237.2,242.89,783750.0
14-09-2007,244.8,249.0,242.83,246.43,700750.0
17-09-2007,245.6,249.6,243.74,245.41,315750.0
18-09-2007,243.62,247.34,240.3,246.62,646000.0
19-09-2007,252.27,268.58,251.0,266.28,1283000.0
20-09-2007,267.0,267.0,262.2,264.6,766500.0
21-09-2007,263.52,267.96,262.0,265.9,750250.0
24-09-2007,268.92,272.8,267.05,270.75,693250.0
25-09-2007,272.0,281.93,270.24,279.81,796000.0
26-09-2007,277.02,278.49,272.2,275.61,911250.0
27-09-2007,277.2,289.98,272.0,285.66,652250.0
28-09-2007,284.2,289.0,278.8,288.25,802500.0
01-10-2007,288.0,288.0,278.8,280.84,600750.0
03-10-2007,282.88,287.8,281.08,285.24,896000.0
04-10-2007,281.05,283.6,277.45,281.5,588500.0
05-10-2007,282.0,282.99,278.4,280.89,469750.0
08-10-2007,284.0,288.58,280.63,282.28,1111750.0
09-10-2007,283.2,285.98,280.53,285.07,749250.0
10-10-2007,287.2,290.8,280.2,285.02,632000.0
11-10-2007,286.0,294.28,285.11,292.58,775500.0
12-10-2007,289.0,291.79,284.44,287.91,958250.0
15-10-2007,293.0,305.36,293.0,299.31,1327250.0
16-10-2007,300.0,303.98,293.42,302.2,748750.0
17-10-2007,280.31,296.58,262.4,292.85,826500.0
18-10-2007,288.47,293.0,272.2,276.12,806250.0
19-10-2007,276.42,288.0,266.05,270.13,668000.0
22-10-2007,263.0,277.2,263.0,271.49,495250.0
23-10-2007,277.2,299.57,275.6,295.05,1098750.0
24-10-2007,300.0,301.6,290.5,297.17,726250.0
25-10-2007,298.0,311.6,291.98,308.3,976250.0
26-10-2007,303.0,311.0,293.0,307.89,785750.0
29-10-2007,318.8,328.8,318.8,326.9,642750.0
30-10-2007,330.08,349.8,323.0,324.2,691500.0
31-10-2007,322.6,332.98,317.64,329.7,517750.0
01-11-2007,336.0,344.8,329.1,333.67,810750.0
02-11-2007,330.0,353.99,328.0,348.45,631750.0
05-11-2007,345.4,345.4,333.24,341.21,417250.0
06-11-2007,341.2,345.8,338.4,342.27,448250.0
07-11-2007,343.01,347.1,324.01,325.21,579500.0
08-11-2007,314.4,318.4,310.46,313.35,465000.0
09-11-2007,312.0,316.08,304.22,307.3,142250.0
12-11-2007,300.0,303.0,292.73,297.67,704500.0
13-11-2007,291.98,322.0,286.0,312.88,1095750.0
14-11-2007,327.8,354.0,321.76,351.23,1283500.0
15-11-2007,348.8,349.0,334.04,337.68,725500.0
16-11-2007,331.2,338.96,326.53,335.54,613500.0
19-11-2007,335.6,337.8,329.04,331.78,383500.0
20-11-2007,324.0,333.8,322.0,325.93,540250.0
21-11-2007,321.14,321.14,310.0,313.94,660500.0
22-11-2007,314.8,321.79,309.64,318.73,754000.0
23-11-2007,322.53,322.53,309.73,314.3,972000.0
26-11-2007,324.8,334.39,322.4,329.29,1181750.0
